"","id","group","year","wasi_fsiq2"
"C101.Control.Y5","C101","Control","Y5",92
"C102.Control.Y5","C102","Control","Y5",75
"C107.Control.Y5","C107","Control","Y5",118
"C108.Control.Y5","C108","Control","Y5",NA
"C109.Control.Y5","C109","Control","Y5",103
"C111.Control.Y5","C111","Control","Y5",84
"C112.Control.Y5","C112","Control","Y5",85
"C113.Control.Y5","C113","Control","Y5",89
"C114.Control.Y5","C114","Control","Y5",89
"C116.Control.Y5","C116","Control","Y5",109
"C104.Control.Y5","C104","Control","Y5",NA
"M105.Music.Y5","M105","Music","Y5",NA
"S112.Sport.Y5","S112","Sport","Y5",NA
"C115.Control.Y5","C115","Control","Y5",NA
"M101.Music.Y5","M101","Music","Y5",NA
"M104.Music.Y5","M104","Music","Y5",NA
"M110.Music.Y5","M110","Music","Y5",NA
"M111.Music.Y5","M111","Music","Y5",NA
"S106.Sport.Y5","S106","Sport","Y5",NA
"C106.Control.Y5","C106","Control","Y5",NA
"M02.Music.Y5","M02","Music","Y5",102
"M04.Music.Y5","M04","Music","Y5",97
"M05.Music.Y5","M05","Music","Y5",120
"M06.Music.Y5","M06","Music","Y5",99
"M07.Music.Y5","M07","Music","Y5",111
"M09.Music.Y5","M09","Music","Y5",128
"M10.Music.Y5","M10","Music","Y5",99
"M12.Music.Y5","M12","Music","Y5",95
"M17.Music.Y5","M17","Music","Y5",110
"S01.Sport.Y5","S01","Sport","Y5",98
"S04.Sport.Y5","S04","Sport","Y5",102
"S07.Sport.Y5","S07","Sport","Y5",89
"S08.Sport.Y5","S08","Sport","Y5",108
"S17.Sport.Y5","S17","Sport","Y5",106
"S28.Sport.Y5","S28","Sport","Y5",96
"S31.Sport.Y5","S31","Sport","Y5",105
"C02.Control.Y5","C02","Control","Y5",100
"C03.Control.Y5","C03","Control","Y5",89
"C04.Control.Y5","C04","Control","Y5",106
"C07.Control.Y5","C07","Control","Y5",97
"C08.Control.Y5","C08","Control","Y5",92
"C17.Control.Y5","C17","Control","Y5",102
"C19.Control.Y5","C19","Control","Y5",87
"M01.Music.Y5","M01","Music","Y5",117
"M03.Music.Y5","M03","Music","Y5",95
"M11.Music.Y5","M11","Music","Y5",88
"M15.Music.Y5","M15","Music","Y5",103
"S05.Sport.Y5","S05","Sport","Y5",110
"S10.Sport.Y5","S10","Sport","Y5",NA
"S14.Sport.Y5","S14","Sport","Y5",107
"S22.Sport.Y5","S22","Sport","Y5",108
"C01.Control.Y5","C01","Control","Y5",99
"C05.Control.Y5","C05","Control","Y5",NA
"C06.Control.Y5","C06","Control","Y5",88
"C11.Control.Y5","C11","Control","Y5",NA
"C12.Control.Y5","C12","Control","Y5",75
"C18.Control.Y5","C18","Control","Y5",122
"M08.Music.Y5","M08","Music","Y5",NA
"C10.Control.Y5","C10","Control","Y5",NA
"C16.Control.Y5","C16","Control","Y5",NA
"S15.Sport.Y5","S15","Sport","Y5",NA
"S21.Sport.Y5","S21","Sport","Y5",NA
"C09.Control.Y5","C09","Control","Y5",NA
"S02.Sport.Y5","S02","Sport","Y5",NA
"S32.Sport.Y5","S32","Sport","Y5",NA
"M102.Music.Y7","M102","Music","Y7",87
"M106.Music.Y7","M106","Music","Y7",NA
"M107.Music.Y7","M107","Music","Y7",NA
"M108.Music.Y7","M108","Music","Y7",89
"M109.Music.Y7","M109","Music","Y7",NA
"M112.Music.Y7","M112","Music","Y7",NA
"M113.Music.Y7","M113","Music","Y7",NA
"S101.Sport.Y7","S101","Sport","Y7",NA
"S103.Sport.Y7","S103","Sport","Y7",101
"S104.Sport.Y7","S104","Sport","Y7",NA
"S105.Sport.Y7","S105","Sport","Y7",94
"S107.Sport.Y7","S107","Sport","Y7",NA
"S108.Sport.Y7","S108","Sport","Y7",99
"S109.Sport.Y7","S109","Sport","Y7",NA
"S110.Sport.Y7","S110","Sport","Y7",84
"S111.Sport.Y7","S111","Sport","Y7",92
"S114.Sport.Y7","S114","Sport","Y7",NA
"S117.Sport.Y7","S117","Sport","Y7",91
"C101.Control.Y7","C101","Control","Y7",86
"C102.Control.Y7","C102","Control","Y7",82
"C107.Control.Y7","C107","Control","Y7",108
"C108.Control.Y7","C108","Control","Y7",93
"C109.Control.Y7","C109","Control","Y7",NA
"C111.Control.Y7","C111","Control","Y7",89
"C112.Control.Y7","C112","Control","Y7",93
"C113.Control.Y7","C113","Control","Y7",91
"C114.Control.Y7","C114","Control","Y7",NA
"C116.Control.Y7","C116","Control","Y7",NA
"C104.Control.Y7","C104","Control","Y7",NA
"M105.Music.Y7","M105","Music","Y7",NA
"S112.Sport.Y7","S112","Sport","Y7",NA
"C115.Control.Y7","C115","Control","Y7",NA
"M101.Music.Y7","M101","Music","Y7",NA
"M104.Music.Y7","M104","Music","Y7",NA
"M110.Music.Y7","M110","Music","Y7",NA
"M111.Music.Y7","M111","Music","Y7",NA
"S106.Sport.Y7","S106","Sport","Y7",NA
"C106.Control.Y7","C106","Control","Y7",NA
"M02.Music.Y7","M02","Music","Y7",100
"M04.Music.Y7","M04","Music","Y7",99
"M05.Music.Y7","M05","Music","Y7",113
"M06.Music.Y7","M06","Music","Y7",103
"M07.Music.Y7","M07","Music","Y7",105
"M09.Music.Y7","M09","Music","Y7",129
"M10.Music.Y7","M10","Music","Y7",93
"M12.Music.Y7","M12","Music","Y7",111
"M17.Music.Y7","M17","Music","Y7",104
"S01.Sport.Y7","S01","Sport","Y7",92
"S04.Sport.Y7","S04","Sport","Y7",122
"S07.Sport.Y7","S07","Sport","Y7",84
"S08.Sport.Y7","S08","Sport","Y7",105
"S17.Sport.Y7","S17","Sport","Y7",94
"S28.Sport.Y7","S28","Sport","Y7",88
"S31.Sport.Y7","S31","Sport","Y7",98
"C02.Control.Y7","C02","Control","Y7",91
"C03.Control.Y7","C03","Control","Y7",88
"C04.Control.Y7","C04","Control","Y7",101
"C07.Control.Y7","C07","Control","Y7",102
"C08.Control.Y7","C08","Control","Y7",92
"C17.Control.Y7","C17","Control","Y7",96
"C19.Control.Y7","C19","Control","Y7",82
"M01.Music.Y7","M01","Music","Y7",NA
"M03.Music.Y7","M03","Music","Y7",NA
"M11.Music.Y7","M11","Music","Y7",NA
"M15.Music.Y7","M15","Music","Y7",NA
"S05.Sport.Y7","S05","Sport","Y7",NA
"S10.Sport.Y7","S10","Sport","Y7",NA
"S14.Sport.Y7","S14","Sport","Y7",NA
"S22.Sport.Y7","S22","Sport","Y7",NA
"C01.Control.Y7","C01","Control","Y7",NA
"C05.Control.Y7","C05","Control","Y7",NA
"C06.Control.Y7","C06","Control","Y7",NA
"C11.Control.Y7","C11","Control","Y7",NA
"C12.Control.Y7","C12","Control","Y7",NA
"C18.Control.Y7","C18","Control","Y7",NA
"M08.Music.Y7","M08","Music","Y7",NA
"C10.Control.Y7","C10","Control","Y7",NA
"C16.Control.Y7","C16","Control","Y7",NA
"S15.Sport.Y7","S15","Sport","Y7",NA
"S21.Sport.Y7","S21","Sport","Y7",NA
"C09.Control.Y7","C09","Control","Y7",NA
"S02.Sport.Y7","S02","Sport","Y7",NA
"S32.Sport.Y7","S32","Sport","Y7",NA
