"","id","group","year","wasi_vci"
"S105.Sport.Y5","S105","Sport","Y5",117
"S107.Sport.Y5","S107","Sport","Y5",102
"S108.Sport.Y5","S108","Sport","Y5",102
"S109.Sport.Y5","S109","Sport","Y5",106
"S110.Sport.Y5","S110","Sport","Y5",86
"S111.Sport.Y5","S111","Sport","Y5",97
"S114.Sport.Y5","S114","Sport","Y5",115
"S117.Sport.Y5","S117","Sport","Y5",103
"C101.Control.Y5","C101","Control","Y5",90
"C102.Control.Y5","C102","Control","Y5",80
"C107.Control.Y5","C107","Control","Y5",110
"C108.Control.Y5","C108","Control","Y5",NA
"C109.Control.Y5","C109","Control","Y5",101
"C111.Control.Y5","C111","Control","Y5",76
"C112.Control.Y5","C112","Control","Y5",97
"C113.Control.Y5","C113","Control","Y5",77
"C114.Control.Y5","C114","Control","Y5",85
"C116.Control.Y5","C116","Control","Y5",92
"C104.Control.Y5","C104","Control","Y5",NA
"M105.Music.Y5","M105","Music","Y5",NA
"S112.Sport.Y5","S112","Sport","Y5",NA
"C115.Control.Y5","C115","Control","Y5",NA
"M101.Music.Y5","M101","Music","Y5",NA
"M104.Music.Y5","M104","Music","Y5",NA
"M110.Music.Y5","M110","Music","Y5",NA
"M111.Music.Y5","M111","Music","Y5",NA
"S106.Sport.Y5","S106","Sport","Y5",NA
"C106.Control.Y5","C106","Control","Y5",NA
"M02.Music.Y5","M02","Music","Y5",99
"M04.Music.Y5","M04","Music","Y5",103
"M05.Music.Y5","M05","Music","Y5",113
"M06.Music.Y5","M06","Music","Y5",94
"M07.Music.Y5","M07","Music","Y5",109
"M09.Music.Y5","M09","Music","Y5",114
"M10.Music.Y5","M10","Music","Y5",90
"M12.Music.Y5","M12","Music","Y5",103
"M17.Music.Y5","M17","Music","Y5",102
"S01.Sport.Y5","S01","Sport","Y5",102
"S04.Sport.Y5","S04","Sport","Y5",105
"S07.Sport.Y5","S07","Sport","Y5",92
"S08.Sport.Y5","S08","Sport","Y5",115
"S17.Sport.Y5","S17","Sport","Y5",102
"S28.Sport.Y5","S28","Sport","Y5",95
"S31.Sport.Y5","S31","Sport","Y5",117
"C02.Control.Y5","C02","Control","Y5",102
"C03.Control.Y5","C03","Control","Y5",85
"C04.Control.Y5","C04","Control","Y5",108
"C07.Control.Y5","C07","Control","Y5",102
"C08.Control.Y5","C08","Control","Y5",86
"C17.Control.Y5","C17","Control","Y5",99
"C19.Control.Y5","C19","Control","Y5",81
"M01.Music.Y5","M01","Music","Y5",116
"M03.Music.Y5","M03","Music","Y5",90
"M11.Music.Y5","M11","Music","Y5",80
"M15.Music.Y5","M15","Music","Y5",96
"S05.Sport.Y5","S05","Sport","Y5",108
"S10.Sport.Y5","S10","Sport","Y5",NA
"S14.Sport.Y5","S14","Sport","Y5",110
"S22.Sport.Y5","S22","Sport","Y5",97
"C01.Control.Y5","C01","Control","Y5",100
"C05.Control.Y5","C05","Control","Y5",NA
"C06.Control.Y5","C06","Control","Y5",105
"C11.Control.Y5","C11","Control","Y5",NA
"C12.Control.Y5","C12","Control","Y5",95
"C18.Control.Y5","C18","Control","Y5",133
"M08.Music.Y5","M08","Music","Y5",NA
"C10.Control.Y5","C10","Control","Y5",NA
"C16.Control.Y5","C16","Control","Y5",NA
"S15.Sport.Y5","S15","Sport","Y5",NA
"S21.Sport.Y5","S21","Sport","Y5",NA
"C09.Control.Y5","C09","Control","Y5",NA
"S02.Sport.Y5","S02","Sport","Y5",NA
"S32.Sport.Y5","S32","Sport","Y5",NA
"M102.Music.Y7","M102","Music","Y7",95
"M106.Music.Y7","M106","Music","Y7",NA
"M107.Music.Y7","M107","Music","Y7",NA
"M108.Music.Y7","M108","Music","Y7",95
"M109.Music.Y7","M109","Music","Y7",NA
"M112.Music.Y7","M112","Music","Y7",NA
"M113.Music.Y7","M113","Music","Y7",NA
"S101.Sport.Y7","S101","Sport","Y7",NA
"S103.Sport.Y7","S103","Sport","Y7",86
"S104.Sport.Y7","S104","Sport","Y7",NA
"S105.Sport.Y7","S105","Sport","Y7",101
"S107.Sport.Y7","S107","Sport","Y7",NA
"S108.Sport.Y7","S108","Sport","Y7",93
"S109.Sport.Y7","S109","Sport","Y7",NA
"S110.Sport.Y7","S110","Sport","Y7",79
"S111.Sport.Y7","S111","Sport","Y7",95
"S114.Sport.Y7","S114","Sport","Y7",NA
"S117.Sport.Y7","S117","Sport","Y7",95
"C101.Control.Y7","C101","Control","Y7",85
"C102.Control.Y7","C102","Control","Y7",84
"C107.Control.Y7","C107","Control","Y7",109
"C108.Control.Y7","C108","Control","Y7",96
"C109.Control.Y7","C109","Control","Y7",NA
"C111.Control.Y7","C111","Control","Y7",80
"C112.Control.Y7","C112","Control","Y7",91
"C113.Control.Y7","C113","Control","Y7",79
"C114.Control.Y7","C114","Control","Y7",NA
"C116.Control.Y7","C116","Control","Y7",NA
"C104.Control.Y7","C104","Control","Y7",NA
"M105.Music.Y7","M105","Music","Y7",NA
"S112.Sport.Y7","S112","Sport","Y7",NA
"C115.Control.Y7","C115","Control","Y7",NA
"M101.Music.Y7","M101","Music","Y7",NA
"M104.Music.Y7","M104","Music","Y7",NA
"M110.Music.Y7","M110","Music","Y7",NA
"M111.Music.Y7","M111","Music","Y7",NA
"S106.Sport.Y7","S106","Sport","Y7",NA
"C106.Control.Y7","C106","Control","Y7",NA
"M02.Music.Y7","M02","Music","Y7",90
"M04.Music.Y7","M04","Music","Y7",105
"M05.Music.Y7","M05","Music","Y7",116
"M06.Music.Y7","M06","Music","Y7",95
"M07.Music.Y7","M07","Music","Y7",102
"M09.Music.Y7","M09","Music","Y7",121
"M10.Music.Y7","M10","Music","Y7",93
"M12.Music.Y7","M12","Music","Y7",110
